Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,604.79,70.0,Windows,AMD,5.0,6.0,12.0,8.0,DDR4,512,SSD,AMD,Dedicated,4.0,15.6,1920.0,1080.0,True,1.0
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),TECNO,287.88,56.0,Windows,INTEL,11.0,2.0,4.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,323.87,55.0,Windows,AMD,7.0,4.0,8.0,8.0,DDR5,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),SAMSUNG,839.88,60.0,Windows,INTEL,12.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,13.3,1080.0,1920.0,False,1.0
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),XIAOMI,1235.88,78.0,Windows,INTEL,14.0,24.0,32.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.1,2560.0,1600.0,False,1.0
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,431.88,55.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),APPLE,959.88,57.0,Mac,APPLE,12.0,8.0,12.0,8.0,DDR4,256,SSD,APPLE,Integrated,0.0,13.3,2560.0,1600.0,False,1.0
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),SAMSUNG,515.88,54.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,659.88,56.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,677.88,69.0,Windows,AMD,7.0,6.0,12.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),WINGS,299.88,51.0,Windows,INTEL,11.0,4.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1080.0,1920.0,False,1.0
Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),ZEBRONICS,395.88,64.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),ASUS,635.88,59.0,Windows,INTEL,12.0,12.0,16.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,983.88,73.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,6.0,16.1,1920.0,1080.0,False,1.0
Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),APPLE,1378.8,57.0,Mac,APPLE,12.0,8.0,12.0,8.0,Other,256,SSD,APPLE,Integrated,0.0,13.6,2560.0,1664.0,False,1.0
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),DELL,405.48,56.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,320.99,57.0,Windows,AMD,5.0,4.0,8.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),APPLE,1198.8,57.0,Mac,APPLE,12.0,8.0,12.0,8.0,DDR4,256,SSD,OTHER,Integrated,0.0,13.6,2560.0,1664.0,False,1.0
Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),SAMSUNG,911.88,55.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,467.88,55.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,599.88,64.0,Windows,INTEL,11.0,6.0,12.0,8.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo IdeaPad Gaming 3 82K2025XIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),LENOVO,659.88,66.0,Windows,AMD,5.0,6.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo Thinkpad E14 20YES00K00 Laptop (AMD Ryzen 7 5800U/ 16GB/ 512GB SSD/ Win10),LENOVO,959.99,62.0,Windows,AMD,5.0,8.0,16.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
HP Envy x360 15-fe0014TX Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),HP,1589.88,69.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,True,1.0
Lenovo ThinkPad E14 21JKS13K00 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),LENOVO,1163.88,65.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,False,1.0
Lenovo V14 82TSA0CWIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),LENOVO,665.88,53.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
